Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
93,5/20/2026,$5.43,Wawa,20,3,Wednesday,May,2026
94,5/17/2026,$23.27,Anitas,17,3,Sunday,May,2026
95,5/17/2026,$51.91,Aslin's,17,3,Sunday,May,2026
96,5/17/2026,$3.02,7-Eleven,17,3,Sunday,May,2026
97,5/15/2026,$23.08,Château de Chantilly,15,3,Friday,May,2026
98,5/15/2026,$3.51,Panera ,15,3,Friday,May,2026
99,5/14/2026,$3.63,Wawa,14,2,Thursday,May,2026
100,5/13/2026,$4.92,Starbucks,13,2,Wednesday,May,2026
101,5/13/2026,$17.55,Starbucks,13,2,Wednesday,May,2026
102,5/11/2026,$5.43,Wawa,11,2,Monday,May,2026
103,5/11/2026,$1.59,Costco,11,2,Monday,May,2026
104,5/10/2026,$23.89,Château de Chantilly,10,2,Sunday,May,2026
105,5/8/2026,$11.55,The Human Bean,08,2,Friday,May,2026
106,5/6/2026,$10.59,Little Caesars,06,1,Wednesday,May,2026
107,5/2/2026,$9.01,Wendy's,02,1,Saturday,May,2026
108,5/2/2026,$13.75,Taco Bell,02,1,Saturday,May,2026
109,5/1/2026,$16.36,Chick-Fil-A,01,1,Friday,May,2026
110,5/1/2026,$15.39,Anitas,01,1,Friday,May,2026
111,4/28/2026,$19.59,Little Caesars,28,4,Tuesday,April,2026
112,4/27/2026,$3.52,Panera,27,4,Monday,April,2026
113,4/26/2026,$6.55,Starbucks,26,4,Sunday,April,2026
114,4/26/2026,$11.95,Panera,26,4,Sunday,April,2026
115,4/26/2026,$33.73,District Taco,26,4,Sunday,April,2026
116,4/25/2026,$36.73,Château De Chantilly,25,4,Saturday,April,2026
117,4/23/2026,$12.02,Dairy Queen,23,4,Thursday,April,2026
118,4/23/2026,$1.96,The Human Bean,23,4,Thursday,April,2026
119,4/22/2026,$3.03,Wawa,22,4,Wednesday,April,2026
120,4/21/2026,$17.04,Taco Bell,21,3,Tuesday,April,2026
121,4/17/2026,$1.65,Costco,17,3,Friday,April,2026
122,4/17/2026,$10.55,Costco,17,3,Friday,April,2026
123,4/12/2026,$5.43,Wawa,12,2,Sunday,April,2026
124,4/12/2026,$13.00,Anitas,12,2,Sunday,April,2026
125,4/12/2026,$23.05,Darna,12,2,Sunday,April,2026
126,4/9/2026,$3.63,Wawa,09,2,Thursday,April,2026
127,4/8/2026,$25.63,Chipotle,08,2,Wednesday,April,2026
128,4/7/2026,$4.22,Costco,07,1,Tuesday,April,2026
129,4/5/2026,$22.71,Anitas,05,1,Sunday,April,2026
130,4/5/2026,$12.14,The Human Bean,05,1,Sunday,April,2026
131,4/5/2026,$1.81,Exxon,05,1,Sunday,April,2026
132,4/5/2026,$10.59,Little Caesars,05,1,Sunday,April,2026
133,4/3/2026,$18.75,Qamaria Yemen Coffee,03,1,Friday,April,2026
134,4/2/2026,$5.94,Wawa,02,1,Thursday,April,2026
135,4/2/2026,$10.57,Costco,02,1,Thursday,April,2026
136,4/1/2026,$9.44,Wegmans,01,1,Wednesday,April,2026
137,3/31/2026,$19.01,Sonic,31,5,Tuesday,March,2026
138,3/29/2026,$21.49,Anitas,29,5,Sunday,March,2026
139,3/29/2026,$9.86,7-Eleven,29,5,Sunday,March,2026
140,3/27/2026,$7.43,Mr. Wish,27,4,Friday,March,2026
141,3/27/2026,$5.29,Subway,27,4,Friday,March,2026
142,3/26/2026,$15.89,Taco Bell,26,4,Thursday,March,2026
143,3/24/2026,$1.60,Lidl,24,4,Tuesday,March,2026
144,3/24/2026,$8.21,Qamaria Yemen Coffee,24,4,Tuesday,March,2026
145,3/22/2026,$10.01,Panda Express,22,4,Sunday,March,2026
146,3/22/2026,$12.64,Basic Burger,22,4,Sunday,March,2026
147,3/21/2026,$13.00,Anitas,21,3,Saturday,March,2026
148,3/21/2026,$12.70,Little Caesars,21,3,Saturday,March,2026
149,3/20/2026,$9.00,Subway,20,3,Friday,March,2026
150,3/20/2026,$18.86,Chick-Fil-A,20,3,Friday,March,2026
151,3/17/2026,$12.97,Qamaria Yemeni Coffee,17,3,Tuesday,March,2026
152,3/16/2026,$11.31,7-Eleven,16,3,Monday,March,2026
153,3/13/2026,$30.83,Chipotle,13,2,Friday,March,2026
154,3/11/2026,$7.47,Wendy's,11,2,Wednesday,March,2026
155,3/10/2026,$4.29,Chick-Fil-A,10,2,Tuesday,March,2026
156,3/8/2026,$22.53,Kaldis Social House,08,2,Sunday,March,2026
157,3/8/2026,$8.20,Taco Bell,08,2,Sunday,March,2026
158,3/7/2026,$7.93,Costco,07,1,Saturday,March,2026
159,3/5/2026,$6.91,Weird Bros,05,1,Thursday,March,2026
160,3/5/2026,$10.59,Little Caesars,05,1,Thursday,March,2026
161,3/2/2026,$7.35,Wawa,02,1,Monday,March,2026
162,3/1/2026,$6.71,Detour Coffee,01,1,Sunday,March,2026
163,3/1/2026,$4.95,Qamaria Yemen Coffee,01,1,Sunday,March,2026
164,3/1/2026,$28.25,Chipotle,01,1,Sunday,March,2026
165,2/26/2026,$7.42,Qamaria Yemen Coffee,26,4,Thursday,February,2026
166,2/24/2026,$7.72,Panera,24,4,Tuesday,February,2026
167,2/24/2026,$3.63,Wawa,24,4,Tuesday,February,2026
168,2/23/2026,$16.37,Subway,23,4,Monday,February,2026
169,2/22/2026,$20.39,Qamaria Yemen Coffee,22,4,Sunday,February,2026
170,2/21/2026,$21.73,Taco Bamba,21,3,Saturday,February,2026
171,2/21/2026,$7.93,Costco,21,3,Saturday,February,2026
172,2/20/2026,$8.47,Qamaria Yemen Coffee,20,3,Friday,February,2026
173,2/18/2026,$21.60,Hyatt,18,3,Wednesday,February,2026
174,2/18/2026,$8.20,Mr Wish,18,3,Wednesday,February,2026
175,2/18/2026,$19.91,Subway,18,3,Wednesday,February,2026
176,2/15/2026,$10.59,Little Caesars,15,3,Sunday,February,2026
177,2/15/2026,$1.90,Taco Bell,15,3,Sunday,February,2026
178,2/15/2026,$15.00,Starbucks,15,3,Sunday,February,2026
179,2/11/2026,$19.34,Qamaria Yemen Coffee,11,2,Wednesday,February,2026
180,2/8/2026,$11.45,Anitas,08,2,Sunday,February,2026
181,2/8/2026,$21.95,Paris Baguette,08,2,Sunday,February,2026
182,2/7/2026,$11.65,Little Caesars,07,1,Saturday,February,2026
183,2/7/2026,$8.20,Mr Wish,07,1,Saturday,February,2026
184,2/6/2026,$15.71,Anitas,06,1,Friday,February,2026
185,2/6/2026,$20.00,Popeye's,06,1,Friday,February,2026
186,2/6/2026,$5.29,Little Caesars,06,1,Friday,February,2026
187,2/5/2026,$7.93,Costco,05,1,Thursday,February,2026
188,2/4/2026,$5.25,The Human Bean,04,1,Wednesday,February,2026
189,2/1/2026,$7.72,Domino's,01,1,Sunday,February,2026
190,1/28/2026,$26.34,Anitas,28,4,Wednesday,January,2026
191,1/24/2026,$22.00,Audacious Aleworks,24,4,Saturday,January,2026
192,1/24/2026,$15.13,Northside Social,24,4,Saturday,January,2026
193,1/24/2026,$22.92,Anitas,24,4,Saturday,January,2026
194,1/20/2026,$1.69,Taco Bell,20,3,Tuesday,January,2026
195,1/18/2026,$13.00,Anitas,18,3,Sunday,January,2026
196,1/18/2026,$24.48,Darna,18,3,Sunday,January,2026
197,1/17/2026,$21.12,Burger Shack,17,3,Saturday,January,2026
198,1/16/2026,$12.09,The Human Bean,16,3,Friday,January,2026
199,1/15/2026,$3.63,Wawa,15,3,Thursday,January,2026
200,1/15/2026,$10.70,Taco Bell,15,3,Thursday,January,2026
201,1/15/2026,$10.70,Taco Bell,15,3,Thursday,January,2026
202,1/13/2026,$7.80,Bruster's Ice Cream,13,2,Tuesday,January,2026
203,1/11/2026,$7.93,Costco,11,2,Sunday,January,2026
204,1/10/2026,$5.78,The Human Bean,10,2,Saturday,January,2026
205,1/8/2026,$17.26,Wonder,08,2,Thursday,January,2026
206,1/4/2026,$8.15,Costco,04,1,Sunday,January,2026
207,1/3/2026,$12.42,Mr Wish,03,1,Saturday,January,2026
208,12/30/2025,$10.58,Little Ceasars,30,5,Tuesday,December,2025
209,12/23/2025,$7.25,Wawa,23,4,Tuesday,December,2025
