Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
392,4/27/2025,$8.57,Weird Bros,27,4,Sunday,April,2025
393,4/27/2025,$15.73,McDonald's,27,4,Sunday,April,2025
394,4/26/2025,$13.25,Taco Bell,26,4,Saturday,April,2025
395,4/26/2025,$5.45,Northside Social,26,4,Saturday,April,2025
396,4/25/2025,$7.13,Weird Bros,25,4,Friday,April,2025
397,4/24/2025,$21.95,Weird Bros,24,4,Thursday,April,2025
398,4/20/2025,$20.82,Papa Johns,20,3,Sunday,April,2025
399,4/19/2025,$13.76,Weird Bros,19,3,Saturday,April,2025
400,4/19/2025,$16.41,Little Caesars,19,3,Saturday,April,2025
401,4/19/2025,$4.33,7-Eleven,19,3,Saturday,April,2025
402,4/18/2025,$2.51,7-Eleven,18,3,Friday,April,2025
403,4/18/2025,$2.51,7-Eleven,18,3,Friday,April,2025
404,4/16/2025,$29.68,Taco Bamba,16,3,Wednesday,April,2025
405,4/15/2025,$27.09,Popeyes,15,3,Tuesday,April,2025
406,4/13/2025,$8.05,Wendy's,13,2,Sunday,April,2025
407,4/9/2025,$11.38,Panera,09,2,Wednesday,April,2025
408,4/9/2025,$6.90,Dairy Queen,09,2,Wednesday,April,2025
409,4/6/2025,$22.25,Taco Bell,06,1,Sunday,April,2025
410,4/6/2025,$20.19,Panera,06,1,Sunday,April,2025
411,4/6/2025,$45.20,Bayou Bakery,06,1,Sunday,April,2025
412,4/5/2025,$16.05,Bon Me Shack,05,1,Saturday,April,2025
413,4/5/2025,$7.31,Tea DM,05,1,Saturday,April,2025
414,4/5/2025,$13.52,Firehouse Subs,05,1,Saturday,April,2025
415,4/4/2025,$22.32,Anitas,04,1,Friday,April,2025
416,4/1/2025,$40.00,Right Proper Brewing,01,1,Tuesday,April,2025
417,3/30/2025,$12.33,Weird Bros,30,5,Sunday,March,2025
418,3/28/2025,$27.98,Maizal,28,4,Friday,March,2025
419,3/27/2025,$8.03,Wendy's,27,4,Thursday,March,2025
420,3/26/2025,$9.88,Weird Bros,26,4,Wednesday,March,2025
421,3/23/2025,$13.15,Papa Johns,23,4,Sunday,March,2025
422,3/22/2025,$36.00,Virginia Kitchen,22,4,Saturday,March,2025
423,3/22/2025,$7.63,Mr. Wish,22,4,Saturday,March,2025
424,3/22/2025,$7.42,Wendy's,22,4,Saturday,March,2025
425,3/21/2025,$34.84,Bon Me Shack,21,3,Friday,March,2025
426,3/20/2025,$15.35,Weird Bros,20,3,Thursday,March,2025
427,3/20/2025,$1.10,Dairy Queen,20,3,Thursday,March,2025
428,3/18/2025,$9.77,Dairy Queen,18,3,Tuesday,March,2025
429,3/17/2025,$16.31,Taco Bell,17,3,Monday,March,2025
430,3/16/2025,$13.99,Weird Bros,16,3,Sunday,March,2025
431,3/15/2025,$43.35,Aslin's,15,3,Saturday,March,2025
432,3/2/2025,$41.20,Bon Me Shack,02,1,Sunday,March,2025
433,3/2/2025,$7.00,Tea DM,02,1,Sunday,March,2025
434,2/28/2025,$14.82,Weird Bros,28,4,Friday,February,2025
435,2/25/2025,$4.01,7-Eleven,25,4,Tuesday,February,2025
436,2/22/2025,$45.00,Bluemont Vineyard,22,4,Saturday,February,2025
437,2/22/2025,$43.99,Monk's BBQ,22,4,Saturday,February,2025
438,2/21/2025,$2.51,7-Eleven,21,3,Friday,February,2025
439,2/19/2025,$11.63,Taco Bell,19,3,Wednesday,February,2025
440,2/19/2025,$12.17,Papa Johns,19,3,Wednesday,February,2025
441,2/16/2025,$11.77,Weird Bros,16,3,Sunday,February,2025
442,2/16/2025,$24.80,Maizal,16,3,Sunday,February,2025
443,2/15/2025,$5.50,Weird Bros,15,3,Saturday,February,2025
444,2/15/2025,$135.33,Maizal,15,3,Saturday,February,2025
445,2/14/2025,$6.04,Mr. Wish,14,2,Friday,February,2025
446,2/12/2025,$27.19,I-HOP,12,2,Wednesday,February,2025
447,2/11/2025,$34.72,Look Cinemas,11,2,Tuesday,February,2025
448,2/8/2025,$13.25,Taco Bell,08,2,Saturday,February,2025
449,2/8/2025,$52.30,Absolute Noodles,08,2,Saturday,February,2025
450,2/8/2025,$6.86,Weird Bros,08,2,Saturday,February,2025
451,2/8/2025,$23.43,Fresh Baguette,08,2,Saturday,February,2025
452,2/6/2025,$6.36,Wendy's,06,1,Thursday,February,2025
453,2/2/2025,$7.00,Tea DM,02,1,Sunday,February,2025
454,2/1/2025,$40.51,Aslin's,01,1,Saturday,February,2025
455,2/1/2025,$13.49,Papa Johns,01,1,Saturday,February,2025
456,1/31/2025,$16.28,Weird Bros,31,5,Friday,January,2025
457,1/30/2025,$2.31,7-Eleven,30,5,Thursday,January,2025
458,1/30/2025,$17.80,Bagel Cafe,30,5,Thursday,January,2025
459,1/28/2025,$7.41,REGAL DULLES,28,4,Tuesday,January,2025
460,1/28/2025,$8.07,Bagel Cafe,28,4,Tuesday,January,2025
461,1/26/2025,$34.57,Yu Noodles,26,4,Sunday,January,2025
462,1/25/2025,$29.16,De Clieu,25,4,Saturday,January,2025
463,1/24/2025,$13.25,Taco Bell,24,4,Friday,January,2025
464,1/19/2025,$31.94,Anitas,19,3,Sunday,January,2025
465,1/17/2025,$48.00,Aslin's,17,3,Friday,January,2025
466,1/14/2025,$24.82,Moby Dick,14,2,Tuesday,January,2025
467,1/7/2025,$5.57,Tea DM,07,1,Tuesday,January,2025
468,1/5/2025,$32.07,Bon Me Shack,05,1,Sunday,January,2025
469,1/2/2025,$28.22,Bon Me Shack,02,1,Thursday,January,2025
470,1/2/2025,$6.07,Tea DM,02,1,Thursday,January,2025
